tip_label,Alv_Alv_pl_fwd,Alv_Dent_pl_fwd,Alv_Edge_pl_fwd,Alv_Glide_pl_fwd,Alv_Glot_pl_fwd,Alv_Lab_pl_fwd,Alv_Pal_pl_fwd,Alv_Retr_pl_fwd,Alv_Vel_pl_fwd,Alv_Vowel_pl_fwd,Dent_Alv_pl_fwd,Dent_Dent_pl_fwd,Dent_Edge_pl_fwd,Dent_Glide_pl_fwd,Dent_Glot_pl_fwd,Dent_Lab_pl_fwd,Dent_Pal_pl_fwd,Dent_Retr_pl_fwd,Dent_Vel_pl_fwd,Dent_Vowel_pl_fwd,Edge_Alv_pl_fwd,Edge_Dent_pl_fwd,Edge_Edge_pl_fwd,Edge_Glide_pl_fwd,Edge_Glot_pl_fwd,Edge_Lab_pl_fwd,Edge_Pal_pl_fwd,Edge_Retr_pl_fwd,Edge_Vel_pl_fwd,Edge_Vowel_pl_fwd,Glide_Alv_pl_fwd,Glide_Dent_pl_fwd,Glide_Edge_pl_fwd,Glide_Glide_pl_fwd,Glide_Glot_pl_fwd,Glide_Lab_pl_fwd,Glide_Pal_pl_fwd,Glide_Retr_pl_fwd,Glide_Vel_pl_fwd,Glide_Vowel_pl_fwd,Glot_Alv_pl_fwd,Glot_Dent_pl_fwd,Glot_Edge_pl_fwd,Glot_Glide_pl_fwd,Glot_Glot_pl_fwd,Glot_Lab_pl_fwd,Glot_Pal_pl_fwd,Glot_Retr_pl_fwd,Glot_Vel_pl_fwd,Glot_Vowel_pl_fwd,Lab_Alv_pl_fwd,Lab_Dent_pl_fwd,Lab_Edge_pl_fwd,Lab_Glide_pl_fwd,Lab_Glot_pl_fwd,Lab_Lab_pl_fwd,Lab_Pal_pl_fwd,Lab_Retr_pl_fwd,Lab_Vel_pl_fwd,Lab_Vowel_pl_fwd,Pal_Alv_pl_fwd,Pal_Dent_pl_fwd,Pal_Edge_pl_fwd,Pal_Glide_pl_fwd,Pal_Glot_pl_fwd,Pal_Lab_pl_fwd,Pal_Pal_pl_fwd,Pal_Retr_pl_fwd,Pal_Vel_pl_fwd,Pal_Vowel_pl_fwd,Retr_Alv_pl_fwd,Retr_Dent_pl_fwd,Retr_Edge_pl_fwd,Retr_Glide_pl_fwd,Retr_Glot_pl_fwd,Retr_Lab_pl_fwd,Retr_Pal_pl_fwd,Retr_Retr_pl_fwd,Retr_Vel_pl_fwd,Retr_Vowel_pl_fwd,Vel_Alv_pl_fwd,Vel_Dent_pl_fwd,Vel_Edge_pl_fwd,Vel_Glide_pl_fwd,Vel_Glot_pl_fwd,Vel_Lab_pl_fwd,Vel_Pal_pl_fwd,Vel_Retr_pl_fwd,Vel_Vel_pl_fwd,Vel_Vowel_pl_fwd,Vowel_Alv_pl_fwd,Vowel_Dent_pl_fwd,Vowel_Edge_pl_fwd,Vowel_Glide_pl_fwd,Vowel_Glot_pl_fwd,Vowel_Lab_pl_fwd,Vowel_Pal_pl_fwd,Vowel_Retr_pl_fwd,Vowel_Vel_pl_fwd,Vowel_Vowel_pl_fwd,Edge_Edge_man_fwd,Edge_Glide_man_fwd,Edge_Lat_man_fwd,Edge_Nas_man_fwd,Edge_Obs_man_fwd,Edge_Rhoglide_man_fwd,Edge_Vibr_man_fwd,Edge_Vowel_man_fwd,Glide_Edge_man_fwd,Glide_Glide_man_fwd,Glide_Lat_man_fwd,Glide_Nas_man_fwd,Glide_Obs_man_fwd,Glide_Rhoglide_man_fwd,Glide_Vibr_man_fwd,Glide_Vowel_man_fwd,Lat_Edge_man_fwd,Lat_Glide_man_fwd,Lat_Lat_man_fwd,Lat_Nas_man_fwd,Lat_Obs_man_fwd,Lat_Rhoglide_man_fwd,Lat_Vibr_man_fwd,Lat_Vowel_man_fwd,Nas_Edge_man_fwd,Nas_Glide_man_fwd,Nas_Lat_man_fwd,Nas_Nas_man_fwd,Nas_Obs_man_fwd,Nas_Rhoglide_man_fwd,Nas_Vibr_man_fwd,Nas_Vowel_man_fwd,Obs_Edge_man_fwd,Obs_Glide_man_fwd,Obs_Lat_man_fwd,Obs_Nas_man_fwd,Obs_Obs_man_fwd,Obs_Rhoglide_man_fwd,Obs_Vibr_man_fwd,Obs_Vowel_man_fwd,Rhoglide_Edge_man_fwd,Rhoglide_Glide_man_fwd,Rhoglide_Lat_man_fwd,Rhoglide_Nas_man_fwd,Rhoglide_Obs_man_fwd,Rhoglide_Rhoglide_man_fwd,Rhoglide_Vibr_man_fwd,Rhoglide_Vowel_man_fwd,Vibr_Edge_man_fwd,Vibr_Glide_man_fwd,Vibr_Lat_man_fwd,Vibr_Nas_man_fwd,Vibr_Obs_man_fwd,Vibr_Rhoglide_man_fwd,Vibr_Vibr_man_fwd,Vibr_Vowel_man_fwd,Vowel_Edge_man_fwd,Vowel_Glide_man_fwd,Vowel_Lat_man_fwd,Vowel_Nas_man_fwd,Vowel_Obs_man_fwd,Vowel_Rhoglide_man_fwd,Vowel_Vibr_man_fwd,Vowel_Vowel_man_fwd
WesternArrarnta,0.10247349823321554,0.028268551236749116,0,0.024734982332155476,NA,0.07420494699646643,0.02120141342756184,0,0.20141342756183744,0.5477031802120141,0.09859154929577464,0.09859154929577464,0,0,NA,0,0,0,0,0.8028169014084507,0.051334702258726904,0.03696098562628337,0,0.039014373716632446,NA,0.0944558521560575,0.053388090349075976,0.16632443531827515,0.14784394250513347,0.41067761806981523,0.005917159763313609,0,0,0.011834319526627219,NA,0,0,0,0.005917159763313609,0.9763313609467456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.022099447513812154,NA,0.1270718232044199,0,0,0,0.850828729281768,0,0,0,0.012578616352201257,NA,0,0.25157232704402516,0,0,0.7358490566037735,0,0,0,0.13157894736842107,NA,0.048872180451127824,0,0.2518796992481203,0.041353383458646614,0.5263157894736843,0,0,0,0.10108303249097472,NA,0,0,0,0.19494584837545126,0.703971119133574,0.29927884615384615,0.057692307692307696,0.07692307692307693,0.10697115384615384,NA,0.09495192307692307,0.10576923076923077,0.1502403846153846,0.10697115384615384,0.001201923076923077,0,0.027718550106609806,0.057569296375266525,0.16844349680170576,0.2921108742004265,0.01279317697228145,0.014925373134328358,0.42643923240938164,0,0.008620689655172414,0,0.008620689655172414,0,0,0,0.9827586206896551,0,0.023255813953488372,0,0,0.5116279069767442,0,0,0.46511627906976744,0,0.017341040462427744,0,0.017341040462427744,0.37283236994219654,0,0,0.5924855491329479,0,0.11191335740072202,0,0.11010830324909747,0,0,0,0.7779783393501806,0,0.018867924528301886,0,0,0.018867924528301886,0,0,0.9622641509433962,0,0.046511627906976744,0,0,0.43023255813953487,0,0,0.5232558139534884,0.08163265306122448,0.05102040816326531,0.20153061224489796,0.2653061224489796,0.2232142857142857,0.0625,0.11352040816326532,0.0012755102040816326
Badimaya,0.14028056112224446,0.008016032064128256,0.002004008016032064,0,NA,0.044088176352705406,0.002004008016032064,0,0.06012024048096192,0.7434869739478958,0.03,0.03,0,0,NA,0,0.01,0,0,0.93,0.08395802098950525,0.08395802098950525,0,0.18290854572713644,NA,0.2833583208395802,0.08845577211394302,0.008995502248875561,0.24887556221889054,0.019490254872563718,0,0,0,0,NA,0.015748031496062992,0,0,0.007874015748031496,0.9763779527559054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.036414565826330535,0,0,0,0.9635854341736695,0,0,0,0,NA,0.06179775280898876,0.056179775280898875,0,0.005617977528089888,0.8764044943820225,0,0,0,0,NA,0.0437956204379562,0,0.0802919708029197,0.072992700729927,0.802919708029197,0,0,0,0,NA,0,0,0,0.06976744186046512,0.9302325581395349,0.3686956521739131,0.035652173913043476,0.011304347826086957,0.11478260869565218,NA,0.0973913043478261,0.10695652173913042,0.11652173913043479,0.10782608695652174,0.0408695652173913,0,0.19967266775777412,0.001636661211129296,0.3060556464811784,0.4713584288052373,0,0,0.02127659574468085,0,0,0,0,0,0,0,1,0,0,0,0.005952380952380952,0.2738095238095238,0,0,0.7202380952380952,0.002074688796680498,0,0,0.020746887966804982,0.2987551867219917,0,0,0.6784232365145229,0,0,0,0,0.0012285012285012285,0,0,0.9987714987714988,0,0,0,0,0.056074766355140186,0,0,0.9439252336448598,0,0,0,0,0.14893617021276595,0,0,0.851063829787234,0.011722272317403064,0.022542831379621278,0.16862037871956717,0.3192064923354373,0.2921550946798918,0.09648331830477908,0.04688908926961226,0.042380522993688004
Malgana,0.090625,0.021875,0,0,NA,0.01875,0,0,0.028125000000000004,0.8406250000000001,0.08536585365853659,0.08536585365853659,0,0,NA,0,0,0,0,0.8292682926829268,0.06369426751592357,0.06369426751592357,0,0.25796178343949044,NA,0.31528662420382164,0.06369426751592357,0.025477707006369428,0.18789808917197454,0.022292993630573247,0,0,0,0.0076335877862595426,NA,0,0,0,0,0.9923664122137404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.0308641975308642,0,0,0,0.9691358024691358,0,0,0,0,NA,0.027522935779816512,0.09174311926605504,0,0.01834862385321101,0.8623853211009175,0,0,0,0,NA,0.028985507246376812,0,0.057971014492753624,0.07246376811594203,0.8405797101449276,0,0,0,0,NA,0,0,0,0.06338028169014086,0.9366197183098592,0.40458015267175573,0.0732824427480916,0.0030534351145038168,0.07480916030534351,NA,0.0717557251908397,0.12213740458015267,0.08702290076335878,0.0900763358778626,0.0732824427480916,0,0.2755102040816327,0,0.27891156462585037,0.42176870748299317,0,0,0.023809523809523808,0,0,0,0,0,0,0,1,0,0,0,0,0.24000000000000002,0,0,0.76,0,0,0,0.00706713780918728,0.2120141342756184,0,0,0.7809187279151943,0,0,0,0,0.007936507936507936,0,0,0.9920634920634921,0,0.029411764705882353,0,0,0,0,0,0.9705882352941175,0,0,0,0,0.01694915254237288,0,0,0.983050847457627,0.0032948929159802307,0.02471169686985173,0.12520593080724876,0.3311367380560132,0.2833607907742998,0.05601317957166392,0.0971993410214168,0.07907742998352553
Nhanta,0.20845921450151056,0.09063444108761329,0,0,0,0.036253776435045314,0,0,0.045317220543806644,0.6193353474320241,0.2898550724637681,0.2898550724637681,0,0,0,0,0,0,0,0.4202898550724638,0.06912442396313363,0.06912442396313363,0,0.24731182795698925,0.0015360983102918587,0.2196620583717358,0.055299539170506916,0.007680491551459294,0.1336405529953917,0.1966205837173579,0,0,0,0,0.04054054054054054,0,0,0.004504504504504505,0,0.954954954954955,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.224,0,0,0,0.776,0,0,0,0,0,0.017241379310344827,0.28879310344827586,0,0.01293103448275862,0.6810344827586208,0,0,0,0,0,0.06578947368421054,0,0.13157894736842107,0.06140350877192983,0.7412280701754387,0,0,0,0,0,0,0,0,0.2869822485207101,0.7130177514792899,0.3565957446808511,0.03574468085106383,0.005106382978723405,0.054468085106382985,0.01021276595744681,0.08936170212765958,0.11063829787234043,0.16340425531914896,0.09106382978723405,0.08340425531914894,0,0.26567656765676567,0,0.20462046204620463,0.3184818481848185,0,NA,0.2112211221122112,0,0,0.0051813471502590676,0,0,0,NA,0.9948186528497409,0,0,0,0,0.0839160839160839,0,NA,0.916083916083916,0,0,0,0.030848329048843184,0.35475578406169667,0,NA,0.6143958868894601,0,0,0,0,0.2719367588932806,0,NA,0.7280632411067194,0,0,0,0,0.3103448275862069,0,NA,0.6896551724137931,NA,NA,NA,NA,NA,NA,NA,NA,0.00529567519858782,0.030891438658428954,0.12533097969991175,0.22418358340688438,0.502206531332745,0.025595763459841134,NA,0.08649602824360107
Wajarri,0.10693877551020409,0.027755102040816326,0,0,NA,0.05795918367346939,8.163265306122448e-4,0,0.07510204081632653,0.7314285714285714,0.11371237458193979,0.11371237458193979,0,0,NA,0.01003344481605351,0,0,0.0033444816053511705,0.7591973244147157,0.05574712643678161,0.05574712643678161,0,0.1879310344827586,NA,0.34310344827586203,0.10459770114942529,0.005172413793103448,0.2074712643678161,0.040229885057471264,0,0,0,0,NA,0.0015015015015015015,0,0,0.003003003003003003,0.9954954954954955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.04014598540145986,0,0,0,0.9598540145985401,0.003294892915980231,0.003294892915980231,0,0.01153212520593081,NA,0.06919275123558485,0.10049423393739704,0,0.02635914332784185,0.785831960461285,0,0,0,0.003184713375796178,NA,0.05254777070063694,0.001592356687898089,0.09713375796178343,0.0748407643312102,0.7707006369426751,0,0,0,0,NA,0.0010131712259371835,0,0,0.07092198581560286,0.92806484295846,0.32026666666666664,0.03546666666666667,0.004,0.088,NA,0.08186666666666667,0.12133333333333332,0.1597333333333333,0.10719999999999999,0.08213333333333332,0,0.19841752891052952,6.086427267194157e-4,0.2659768715763847,0.4917833231892879,6.086427267194157e-4,0,0.04260499087035911,0,0,0,0,0,0,0,1,0,0.01192504258943782,0,0.0272572402044293,0.27597955706984667,0,0,0.6848381601362862,0,0.0013986013986013986,0,0.02167832167832168,0.2916083916083916,0,0,0.6853146853146853,0,0,0,4.5495905368516835e-4,4.5495905368516835e-4,0,0,0.9990900818926297,0,0,0,0,0.011235955056179775,0,0,0.9887640449438203,0,0,0,0.02054794520547945,0.13356164383561644,0,0,0.8458904109589042,0.004147083218136578,0.017694221730716064,0.17943046723804257,0.34144318495991155,0.21260713298313522,0.07354160906828863,0.08598285872269837,0.08515344207907105
Karajarri,0.059188275084554674,NA,0.015219842164599774,0.009582863585118376,NA,0.11104847801578353,0.05073280721533258,0,0.1273957158962796,0.6268320180383314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0.24317226890756305,NA,0.2825630252100841,0.15861344537815128,0.07773109243697479,0.2379201680672269,0,0,NA,0,0,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016849199663016008,NA,0.002527379949452401,0,NA,0.052232518955349624,8.424599831508004e-4,0,0.0016849199663016008,0.9410278011794441,0.0012658227848101266,NA,0.012658227848101264,0.006329113924050632,NA,0.021518987341772152,0.032911392405063286,0,0.010126582278481013,0.9151898734177214,0,NA,0.006928406466512702,0,NA,0.03002309468822171,0.006928406466512702,0.034642032332563515,0.04849884526558892,0.8729792147806006,0,NA,8.077544426494346e-4,0,NA,8.077544426494346e-4,8.077544426494346e-4,0,0.06785137318255251,0.9297253634894992,0.4598506069094304,NA,0.0338468720821662,0.10084033613445377,NA,0.08706816059757236,0.11344537815126049,0.07119514472455649,0.1045751633986928,0.029178338001867414,0,0.22373949579831934,0.027836134453781514,0.22741596638655465,0.5015756302521008,0.019432773109243698,0,0,0,0,0,0,0,0,0,1,0.01138211382113821,0.01138211382113821,0,0.03739837398373984,0.24390243902439024,0,0,0.6959349593495935,0.007509386733416771,0.0025031289111389237,0,0.016270337922403,0.2991239048811014,0,0,0.6745932415519399,0.0037411148522259632,0,3.741114852225963e-4,7.482229704451926e-4,0.0037411148522259632,0,0,0.9913954358398802,0,0,0,0,0,0,0,1,0.027985074626865673,0.020522388059701493,0.001865671641791045,0.06716417910447763,0.27611940298507465,0,0,0.6063432835820896,0.0338468720821662,0.021942110177404293,0.15826330532212884,0.2927170868347339,0.2257236227824463,0.07889822595704948,0.15943043884220354,0.029178338001867414
MangalaMcK,0.0600790513833992,NA,0.007905138339920948,0.007905138339920948,NA,0.09644268774703557,0.0774703557312253,0,0.11620553359683795,0.6339920948616601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0.23282442748091603,NA,0.2519083969465649,0.1534351145038168,0.0984732824427481,0.26030534351145035,0.0030534351145038168,0,NA,0,0,NA,0.003236245954692557,0,0,0,0.9967637540453075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002551020408163265,NA,0,0,NA,0.05739795918367347,0.0012755102040816326,0,0.0012755102040816326,0.9375,0,NA,0.004008016032064128,0.006012024048096192,NA,0.018036072144288578,0.03206412825651302,0,0.01002004008016032,0.9298597194388778,0,NA,0.0032894736842105266,0,NA,0.026315789473684213,0,0.03947368421052632,0.052631578947368425,0.8782894736842106,0.0011876484560570072,NA,0.0011876484560570072,0.0011876484560570072,NA,0.0011876484560570072,0,0,0.0498812351543943,0.9453681710213776,0.4858638743455498,NA,0.021640488656195465,0.10471204188481677,NA,0.09598603839441536,0.08411867364746946,0.06212914485165794,0.10436300174520069,0.04118673647469459,0,0.20076335877862597,0.029770992366412216,0.2389312977099237,0.49541984732824434,0.03206106870229008,0,0.0030534351145038168,0,0,0,0,0,0,0,1,0.004807692307692308,0.009615384615384616,0,0.02403846153846154,0.2692307692307692,0.002403846153846154,0,0.6899038461538461,0.004775549188156638,0.0019102196752626551,0,0.017191977077363897,0.29703915950334286,0,0,0.6790830945558739,0.0010770059235325794,0.0010770059235325794,0,0.0010770059235325794,0.007000538502961767,0,0,0.9897684437264406,0,0,0,0.0034129692832764505,0.0034129692832764505,0,0,0.9931740614334472,0.013368983957219251,0.013368983957219251,0,0.03208556149732621,0.3315508021390374,0,0,0.6096256684491979,0.021640488656195465,0.017102966841186736,0.1619546247818499,0.2764397905759162,0.23455497382198956,0.08760907504363002,0.15951134380453752,0.04118673647469459
Nyangumarta,0.07169459962756052,NA,0.0027932960893854745,0.0027932960893854745,NA,0.09217877094972067,0.03631284916201117,0,0.10521415270018622,0.6890130353817504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0.23529411764705885,NA,0.29120559114735006,0.17996505532906232,0.053581828771112415,0.23995340710541643,0,0,NA,0,0,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0.047520661157024795,0,0,0,0.9524793388429752,0.0012330456226880397,NA,0.0012330456226880397,0.004932182490752159,NA,0.03082614056720099,0.0838471023427867,0,0.028360049321824912,0.8495684340320592,0.008486562942008486,NA,0.002828854314002829,0.005657708628005658,NA,0.05799151343705798,0.009900990099009901,0.10042432814710042,0.06789250353606789,0.7468175388967467,0,NA,0,0,NA,0,0,0,0.06575073601570167,0.9342492639842983,0.3546617915904936,NA,0.007007921998781232,0.07647775746496038,NA,0.07891529555149299,0.15173674588665448,0.19165143205362584,0.10847044485070079,0.031078610603290674,0,0.2172393709959231,0.018637157833430402,0.24461269656377402,0.5014560279557367,0.0180547466511357,0,0,0,0,0,0,0,0,0,1,0.005514705882352941,0.007352941176470588,0.001838235294117647,0.007352941176470588,0.27941176470588236,0,0,0.6985294117647058,0.0015748031496062992,0.002362204724409449,0,0.01732283464566929,0.31496062992125984,7.874015748031496e-4,0,0.6629921259842521,0,4.357298474945534e-4,4.357298474945534e-4,4.357298474945534e-4,4.357298474945534e-4,0,0,0.9982570806100218,0,0,0,0,0,0,0,1,0.002127659574468085,0.00425531914893617,0.002127659574468085,0.02127659574468085,0.2936170212765958,0,0,0.676595744680851,0.007007921998781232,0.02102376599634369,0.18769043266301036,0.2958561852528946,0.2276051188299817,0.0554539914686167,0.17428397318708105,0.031078610603290674
Mirniny,0.0634441087613293,0.012084592145015106,NA,0,NA,0.054380664652567974,0.009063444108761328,0,0.09365558912386707,0.7673716012084593,0.04545454545454545,0.04545454545454545,NA,0,NA,0,0,0,0,0.909090909090909,0.07,0.07,NA,0.214,NA,0.258,0.048,0.016,0.308,0.016,0,0,NA,0,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0.03255813953488372,0,0,0,0.9674418604651163,0,0,NA,0.012048192771084338,NA,0,0.060240963855421686,0,0.024096385542168676,0.9036144578313253,0,0,NA,0,NA,0.02066115702479339,0.004132231404958678,0.1859504132231405,0.08264462809917356,0.7066115702479339,0,0,NA,0,NA,0,0,0,0.017123287671232876,0.982876712328767,0.3538283062645012,0.052204176334106726,NA,0.08120649651972157,NA,0.06612529002320186,0.07424593967517401,0.23085846867749418,0.09280742459396751,0.048723897911832945,NA,0.22795698924731184,0,0.2903225806451613,0.46236559139784944,0.002150537634408602,0,0.017204301075268817,NA,0,0,0,0,0,0,1,NA,0,0,0.005917159763313609,0.34911242603550297,0,0,0.6449704142011835,NA,0.0028011204481792713,0,0.011204481792717085,0.22408963585434172,0,0,0.7619047619047619,NA,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,NA,0,0,0.012499999999999999,0.225,0,0,0.7625000000000001,NA,0.03182374541003672,0.22031823745410037,0.31578947368421056,0.22276621787025705,0.05385556915544676,0.1040391676866585,0.05140758873929009
